,source sentence,source paragraph,Subject,Verb,Object
0,The experience of pain in each individual is likely influenced by all these entities.,"The personal history of a patient spans many facets of life including employment status and occupation, marital and insurance status. the personal history of a patient also includes social history such as alcohol, tobacco and substance use in addition to personal preferences, expectations, habits such as sleep schedule, clothing choices, and diet. The patient's medical history of isolated and chronic illnesses is important as well. All of these entities likely contribute to how pain is experienced in each individual.",the experience of pain,is influenced,by various factors
1,The experience of pain in each individual is likely influenced by all these entities.,"The personal history of a patient spans many facets of life including employment status and occupation, marital and insurance status. the personal history of a patient also includes social history such as alcohol, tobacco and substance use in addition to personal preferences, expectations, habits such as sleep schedule, clothing choices, and diet. The patient's medical history of isolated and chronic illnesses is important as well. All of these entities likely contribute to how pain is experienced in each individual.",various factors,can vary,from person to person
2,The experience of pain in each individual is likely influenced by all these entities.,"The personal history of a patient spans many facets of life including employment status and occupation, marital and insurance status. the personal history of a patient also includes social history such as alcohol, tobacco and substance use in addition to personal preferences, expectations, habits such as sleep schedule, clothing choices, and diet. The patient's medical history of isolated and chronic illnesses is important as well. All of these entities likely contribute to how pain is experienced in each individual.",each individual's experience of pain,is likely influenced,by various factors
3,The isolated and chronic illnesses of the patient have an important medical history.,"The personal history of a patient spans many facets of life including employment status and occupation, marital and insurance status. the personal history of a patient also includes social history such as alcohol, tobacco and substance use in addition to personal preferences, expectations, habits such as sleep schedule, clothing choices, and diet. The patient's medical history of isolated and chronic illnesses is important as well. All of these entities likely contribute to how pain is experienced in each individual.",patient,has,isolated illnesses
4,The isolated and chronic illnesses of the patient have an important medical history.,"The personal history of a patient spans many facets of life including employment status and occupation, marital and insurance status. the personal history of a patient also includes social history such as alcohol, tobacco and substance use in addition to personal preferences, expectations, habits such as sleep schedule, clothing choices, and diet. The patient's medical history of isolated and chronic illnesses is important as well. All of these entities likely contribute to how pain is experienced in each individual.",the patient,has,chronic illnesses
5,The isolated and chronic illnesses of the patient have an important medical history.,"The personal history of a patient spans many facets of life including employment status and occupation, marital and insurance status. the personal history of a patient also includes social history such as alcohol, tobacco and substance use in addition to personal preferences, expectations, habits such as sleep schedule, clothing choices, and diet. The patient's medical history of isolated and chronic illnesses is important as well. All of these entities likely contribute to how pain is experienced in each individual.",the patient's medical history,is,important
6,All these entities likely have an impact on the experience of pain in each individual.,"The personal history of a patient spans many facets of life including employment status and occupation, marital and insurance status. the personal history of a patient also includes social history such as alcohol, tobacco and substance use in addition to personal preferences, expectations, habits such as sleep schedule, clothing choices, and diet. The patient's medical history of isolated and chronic illnesses is important as well. All of these entities likely contribute to how pain is experienced in each individual.",entities,affect,experience of pain
7,All these entities likely have an impact on the experience of pain in each individual.,"The personal history of a patient spans many facets of life including employment status and occupation, marital and insurance status. the personal history of a patient also includes social history such as alcohol, tobacco and substance use in addition to personal preferences, expectations, habits such as sleep schedule, clothing choices, and diet. The patient's medical history of isolated and chronic illnesses is important as well. All of these entities likely contribute to how pain is experienced in each individual.",multiple entities,affect,the experience of pain in each person
8,All these entities likely play a role in how each individual experiences pain.,"The personal history of a patient spans many facets of life including employment status and occupation, marital and insurance status. the personal history of a patient also includes social history such as alcohol, tobacco and substance use in addition to personal preferences, expectations, habits such as sleep schedule, clothing choices, and diet. The patient's medical history of isolated and chronic illnesses is important as well. All of these entities likely contribute to how pain is experienced in each individual.",entities,are involved,how each individual experiences pain
9,All these entities likely play a role in how each individual experiences pain.,"The personal history of a patient spans many facets of life including employment status and occupation, marital and insurance status. the personal history of a patient also includes social history such as alcohol, tobacco and substance use in addition to personal preferences, expectations, habits such as sleep schedule, clothing choices, and diet. The patient's medical history of isolated and chronic illnesses is important as well. All of these entities likely contribute to how pain is experienced in each individual.",multiple entities,influence,the way pain is perceived by an individual
